"Multiple Order","Multiple Order"
"Multiple Product Order Form","Multiple Product Order Form"
"General settings","General settings"
"Enable Multiple Product Order Form","Enable Multiple Product Order Form"
"Enable or disable extension.","Enable or disable extension."
"Your product(s) where added to your shopping cart.","Your product(s) where added to your shopping cart."
"Please enter valid product sku.","Please enter valid product sku."
"The product does not exist.","The product does not exist."
"New Order Form","New Order Form"
"Remove this entry","Remove this entry"
"Submit Data","Submit Data"