"Quick Orders","Quick Orders"
"General settings","General settings"
"Enable Quick Orders Form","Enable Quick Orders Form"
"Enable or disable extension.","Enable or disable extension."
"Your product(s) where added to your shopping cart.","Your product(s) where added to your shopping cart."
"Please enter valid product sku.","Please enter valid product sku."
"The product does not exist.","The product does not exist."
"Quick Order Form","Quick Order Form"
"Remove this entry","Remove this entry"
"Add products to Cart","Add products to Cart"
"Product %s couldn\'t be added to cart because requested quantity exceeded stock availability.","Product %s couldn\'t be added to cart because requested quantity exceeded stock availability."
"Product with code %s doesn\'t exists.","Product with code %s doesn\'t exists."